id,pergunta,resposta
1,Qual o período de inscrição para o concurso CVM?,"O período de inscrição para o concurso da CVM foi de
30 de janeiro de 2024 até 06 de março de 2024.
As inscrições deveriam ser realizadas pelo site da FGV, das
16h do dia 30/01/2024 até as 16h do dia 06/03/2024, considerando o horário oficial de Brasília."
2,Qual o valor da taxa de inscrição do concurso CVM?,"O valor da taxa de inscrição do concurso da CVM foi de
R$ 145,00."
3,Em qual site o candidato deve fazer a inscrição do concurso CVM?,"A inscrição do concurso da CVM deveria ser realizada no site da FGV, no endereço eletrônico:
https://conhecimento.fgv.br/concursos/cvm24"
4,Quais são as formas de pagamento da taxa de inscrição do concurso CVM?,"A taxa de inscrição do concurso CVM poderia ser paga por meio de:
GRU (Guia de Recolhimento da União)
em qualquer banco;
Casas lotéricas;
Correios;
PIX, por meio da leitura do QR Code disponível no boleto."
5,Qual é o prazo-limite de pagamento da inscrição do concurso CVM?,"O prazo-limite para pagamento da taxa de inscrição do concurso CVM foi o dia
07 de março de 2024, primeiro dia útil subsequente ao encerramento das inscrições."
6,Quem pode pedir isenção da taxa de inscrição do concurso CVM?,"Poderiam solicitar isenção da taxa de inscrição os candidatos:
Inscritos no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico), nos termos do Decreto nº 6.593/2008 e do Decreto nº 11.016/2022;
Doadores de medula óssea, conforme a Lei nº 13.656/2018."
7,Qual é o período para solicitar isenção da taxa de inscrição do concurso CVM?,"O período para solicitar isenção da taxa de inscrição do concurso CVM foi de
30 de janeiro de 2024 até 02 de fevereiro de 2024, das
16h às 16h
(horário de Brasília)."
8,A inscrição do concurso CVM é feita somente pela internet?,"Não. Embora a inscrição seja realizada principalmente pela internet, o edital prevê que candidatos sem acesso à internet poderiam solicitar à FGV um local com computador disponibilizado para realizar a inscrição.
O agendamento deveria ser feito pelo telefone
0800-2834628."
9,O candidato pode fazer mais de uma inscrição no concurso CVM?,"Sim, o candidato poderia realizar mais de uma inscrição. Porém, conforme o edital, caso fosse verificada mais de uma inscrição efetivada para o mesmo candidato, apenas a inscrição realizada por último seria considerada válida.
As demais inscrições seriam automaticamente canceladas, sem devolução da taxa paga."
10,O candidato precisa guardar o comprovante de inscrição ou pagamento do concurso CVM?,"Sim. O edital determina que o candidato deve manter em seu poder o comprovante de inscrição e/ou de pagamento da taxa de inscrição, podendo ser solicitado nos locais de realização das provas ou em outras situações previstas pela organização do concurso."
11,Qual entidade está responsável pela organização e execução do concurso CVM?,"A entidade responsável pela organização e execução do concurso da CVM é a
Fundação Getulio Vargas (FGV)."
12,Quantas fases ou etapas tem o concurso CVM?,"O concurso da CVM possui
2 fases:
Prova Objetiva
– de caráter eliminatório e classificatório;
Prova Discursiva
– também de caráter eliminatório e classificatório."
13,Qual é o prazo de validade do concurso CVM?,"O prazo de validade do concurso da CVM é de
24 meses, contados a partir da publicação da homologação do resultado final no Diário Oficial da União.
Esse prazo pode ser
prorrogado uma única vez por igual período."
14,Em quais cidades ou locais as provas do concurso CVM serão realizadas?,"As provas do concurso da CVM seriam realizadas em
todas as capitais do país.
O edital também prevê que, caso não houvesse locais suficientes ou adequados, a FGV poderia alocar candidatos em cidades próximas da capital escolhida para aplicação das provas."
15,Qual horário de referência deve ser considerado pelo candidato no concurso CVM?,"Todos os horários previstos no edital do concurso CVM têm como referência o
horário oficial de Brasília/DF."
16,Onde o candidato encontra o cronograma oficial do concurso CVM?,"O cronograma oficial do concurso CVM pode ser consultado no site da FGV, no endereço eletrônico:
https://conhecimento.fgv.br/concursos/cvm24
Nele são divulgadas as datas e os comunicados oficiais do concurso."
17,Existe possibilidade de impugnar o edital do concurso CVM?,"Sim. O edital prevê que qualquer cidadão poderia impugná-lo.
A impugnação deveria ser enviada para o e-mail
concursocvm24@fgv.br
no prazo de até
5 dias úteis
contados da publicação do edital. Após esse prazo, ocorreria a preclusão do direito de impugnar."
18,Qual é o cargo/ênfase/perfil de Ciência de Dados no concurso CVM?,"O perfil de
Ciência de Dados
no concurso CVM corresponde ao:
Cargo:
Analista CVM
Perfil:
Perfil 7 – Ciência de Dados
Lotação:
Rio de Janeiro
Vagas:
7 vagas no total
5 para ampla concorrência
2 para candidatos negros
não houve vaga imediata reservada para PcD nesse perfil."
19,Quantas vagas existem para a área de Ciência de Dados no concurso CVM?,"Para a área de
Ciência de Dados (Perfil 7 – Analista CVM), o concurso oferece
7 vagas imediatas, distribuídas da seguinte forma:
5 vagas
para ampla concorrência;
2 vagas
para candidatos negros;
0 vagas imediatas
reservadas para pessoas com deficiência (PcD)."
