id,pergunta,resposta
1,Qual o período de inscrição para o concurso PETROBRAS?,"O período de inscrição para o Processo Seletivo Público PETROBRAS/PSP RH 2021 foi de
17 de dezembro de 2021 a 5 de janeiro de 2022."
2,Qual o valor da taxa de inscrição do concurso PETROBRAS?,"O valor da taxa de inscrição do concurso PETROBRAS foi de
R$ 79,83."
3,Em qual site o candidato deve fazer a inscrição do concurso PETROBRAS?,"A inscrição deveria ser realizada no site do Cebraspe, no endereço eletrônico:
http://www.cebraspe.org.br/concursos/petrobras_21_ns"
4,Quais são as formas de pagamento da taxa de inscrição do concurso PETROBRAS?,"A taxa de inscrição deveria ser paga por meio de
boleto bancário.
O edital informa que o boleto poderia ser pago:
em qualquer banco;
nas casas lotéricas;
e nos Correios."
5,Qual é o prazo-limite de pagamento da inscrição do concurso PETROBRAS?,"O prazo-limite para pagamento da taxa de inscrição do concurso PETROBRAS foi
7 de janeiro de 2022."
6,Quem pode pedir isenção da taxa de inscrição do concurso PETROBRAS?,"Podiam solicitar isenção da taxa de inscrição os candidatos amparados pelos Decretos nº 6.593/2008 e nº 6.135/2007, ou seja, aqueles que:
estivessem inscritos no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico); e
fossem membros de família de baixa renda."
7,Qual é o período para solicitar isenção da taxa de inscrição do concurso PETROBRAS?,"O período para solicitar a isenção da taxa de inscrição foi de
17 de dezembro de 2021 a 5 de janeiro de 2022, das
10h do primeiro dia até as 18h do último dia (horário oficial de Brasília/DF)."
8,A inscrição do concurso PETROBRAS é feita somente pela internet?,"Sim. De acordo com o edital, a inscrição do concurso PETROBRAS foi admitida
somente via internet, por meio do site do Cebraspe."
9,O candidato pode fazer mais de uma inscrição no concurso PETROBRAS?,"Sim. O edital permite que o candidato faça inscrição para mais de uma ênfase, desde que observe o dia e o turno de realização das provas.
No entanto, caso haja sobreposição de horários, o candidato deverá escolher apenas uma ênfase para realizar a prova, não podendo fazer provas de mais de uma ao mesmo tempo."
10,O candidato precisa guardar o comprovante de inscrição ou pagamento do concurso PETROBRAS?,Sim. O edital determina que o candidato deve manter em seu poder o comprovante de inscrição ou o comprovante de pagamento da taxa de inscrição e apresentá-lo nos locais de realização das provas objetivas.
11,Qual entidade está responsável pela organização e execução do concurso PETROBRAS?,"A entidade responsável pela organização e execução do concurso PETROBRAS é o
Cebraspe (Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos)."
12,Quantas fases ou etapas tem o concurso PETROBRAS?,"O concurso PETROBRAS possui:
2 fases
para a maioria das ênfases:
Provas objetivas;
Avaliação da qualificação técnica (representada pelas provas).
3 fases
apenas para a Ênfase 19 – Engenharia de Segurança de Processo:
Provas objetivas de conhecimentos básicos;
Provas objetivas de conhecimentos específicos;
Avaliação de títulos."
13,Qual é o prazo de validade do concurso PETROBRAS?,"O prazo de validade do concurso PETROBRAS é de
18 meses, contados a partir da data de publicação da homologação do resultado final, podendo ser prorrogado, uma única vez, por igual período, a critério da PETROBRAS."
14,Em quais cidades ou locais as provas do concurso PETROBRAS serão realizadas?,"As provas do concurso PETROBRAS seriam realizadas nas
26 capitais das Unidades da Federação e no Distrito Federal.
O edital também prevê que, caso não houvesse locais suficientes ou adequados, as provas poderiam ser aplicadas em outras localidades."
15,Qual horário de referência deve ser considerado pelo candidato no concurso PETROBRAS?,"O horário de referência considerado no concurso PETROBRAS é o
horário oficial de Brasília/DF."
16,Onde o candidato encontra o cronograma oficial do concurso PETROBRAS?,"O candidato encontra o cronograma oficial do concurso PETROBRAS no
Anexo IV do edital."
17,Existe possibilidade de impugnar o edital do concurso PETROBRAS?,"O edital não apresenta uma previsão específica de impugnação do edital pelos candidatos.
Ele prevê apenas a possibilidade de interposição de recursos em situações determinadas, como:
indeferimento de inscrição;
indeferimento de isenção da taxa;
atendimento especial;
gabaritos preliminares das provas;
procedimento de heteroidentificação, entre outros."
18,Qual é o cargo/ênfase/perfil de Ciência de Dados no concurso PETROBRAS?,"No concurso PETROBRAS/PSP RH 2021, a área de
Ciência de Dados
corresponde à seguinte ênfase:
Profissional Petrobras de Nível Superior Júnior – Ênfase 7: Ciência de Dados."
19,Quantas vagas existem para a área de Ciência de Dados no concurso PETROBRAS?,"Para a área de
Ciência de Dados (Ênfase 7), o concurso PETROBRAS ofereceu:
33 vagas imediatas, sendo:
23 para ampla concorrência;
3 para pessoas com deficiência (PCD);
7 para candidatos negros.
Além disso, havia
165 vagas no cadastro de reserva
(incluindo as vagas imediatas)."
20,Quantas vagas imediatas existem para Ciência de Dados no concurso PETROBRAS?,"Para a área de
Ciência de Dados (Ênfase 7), o concurso PETROBRAS ofereceu
33 vagas imediatas."
21,Qual percentual ou regra de reserva de vagas PcD existe no concurso PETROBRAS?,"No concurso PETROBRAS,
8% das vagas
de cada ênfase são reservadas para pessoas com deficiência (PcD), conforme o artigo 37, VIII, da Constituição Federal e a legislação específica citada no edital.
O edital também estabelece que:
se o cálculo resultar em número fracionado, ele será arredondado para o próximo número inteiro, desde que não ultrapasse 20% das vagas da ênfase;
as vagas reservadas que não forem preenchidas por candidatos PcD poderão ser ocupadas pelos demais candidatos da ampla concorrência."
22,Qual percentual ou regra de reserva de vagas para candidatos negros existe no concurso PETROBRAS?,"No concurso PETROBRAS,
20% das vagas
de cada ênfase são reservadas para candidatos negros, conforme a Lei nº 12.990/2014.
O edital estabelece ainda que:
a reserva imediata de vagas ocorre apenas nas ênfases com
três ou mais vagas;
o candidato deve se autodeclarar negro no ato da inscrição;
a autodeclaração será confirmada por procedimento de heteroidentificação;
se o cálculo do percentual gerar número fracionado:
fração igual ou superior a 0,5 é arredondada para o número inteiro seguinte;
fração inferior a 0,5 é arredondada para o número inteiro anterior."
23,Qual a remuneração ou salário do cargo do concurso PETROBRAS?,"A remuneração mínima inicial dos cargos de nível superior do concurso PETROBRAS/PSP RH 2021 era de
R$ 11.716,82."
24,Qual é o regime de contratação ou vínculo do concurso PETROBRAS?,"O regime de contratação do concurso PETROBRAS é o da
Consolidação das Leis do Trabalho (CLT)."
25,Qual é a jornada de trabalho do cargo no concurso PETROBRAS?,"A jornada de trabalho prevista para os cargos de nível superior do concurso PETROBRAS é de
8 horas diárias, totalizando
40 horas semanais."
26,Qual escolaridade é exigida para concorrer à área de Ciência de Dados no concurso PETROBRAS?,"Para concorrer à área de
Ciência de Dados (Ênfase 7)
no concurso PETROBRAS, era exigido:
certificado de conclusão ou diploma de curso de graduação de nível superior, devidamente registrado;
curso reconhecido pelo
MEC, Secretarias ou Conselhos Estaduais de Educação.
O edital não restringe a formação a um curso específico para essa ênfase."
27,O concurso PETROBRAS exige registro em conselho profissional para Ciência de Dados?,"Não. Para a área de
Ciência de Dados (Ênfase 7), o edital do concurso PETROBRAS não exige registro em conselho profissional."
28,"Quais requisitos gerais de idade, nacionalidade e situação regular o candidato deve observar no concurso PETROBRAS?","Os requisitos gerais previstos no edital do concurso PETROBRAS incluem:
ter nacionalidade brasileira ou portuguesa (com amparo legal de igualdade de direitos);
estar em dia com as obrigações eleitorais;
estar em dia com as obrigações militares, no caso de candidato brasileiro do sexo masculino;
ter, na data da admissão, no mínimo 18 anos completos;
não ter 75 anos ou mais, nas condições previstas no edital;
possuir aptidão física e mental para o exercício do cargo;
ser aprovado no processo seletivo e atender aos requisitos do cargo;
não acumular remuneração ou aposentadoria pública de forma vedada pela Constituição Federal;
cumprir todas as determinações do edital."
29,O cargo de Ciência de Dados exige disponibilidade para viagens no concurso PETROBRAS?,"Não há, no edital da área de
Ciência de Dados (Ênfase 7), uma exigência específica de disponibilidade para viagens como requisito básico para o cargo."
30,Quais são as atribuições gerais do cargo ligado à Ciência de Dados no concurso PETROBRAS?,"As atribuições gerais da área de
Ciência de Dados (Ênfase 7)
no concurso PETROBRAS são:
atuar no desenvolvimento, análise e modelagem de dados em diversos segmentos da companhia;
atuar na análise, implementação, implantação e consultoria em soluções baseadas em:
estatística;
aprendizado de máquina;
processamento digital de imagens;
processamento de linguagem natural (PLN);
executar a fiscalização técnica e administrativa de contratos de bens e serviços."
