id,pergunta,resposta
1,Qual o período de inscrição para o concurso PETROBRAS?,"De acordo com o Anexo IV (Cronograma) do edital, o período de inscrição foi:
17 de dezembro de 2021 a 5 de janeiro de 2022
Das
10h do primeiro dia
às
18h do último dia
(horário oficial de Brasília/DF).
Vale lembrar que o mesmo período valia também para a solicitação de isenção da taxa de inscrição."
2,Qual o valor da taxa de inscrição do concurso PETROBRAS?,"De acordo com o item
5.1
do edital, o valor da taxa de inscrição é:
R$ 79,83
O pagamento deveria ser efetuado por meio de boleto bancário, podendo ser pago em qualquer banco, casas lotéricas ou Correios, até a data limite de
28 de janeiro de 2022, conforme o cronograma."
3,Em qual site o candidato deve fazer a inscrição do concurso PETROBRAS?,"De acordo com o item
5.2
do edital, a inscrição deveria ser feita exclusivamente via internet, no seguinte endereço eletrônico:
http://www.cebraspe.org.br/concursos/petrobras_21_ns
Vale destacar que o edital ressalta que
não era admitida
inscrição via postal, requerimento administrativo ou correio eletrônico, sendo aceita
somente
pelo site acima."
4,Quais são as formas de pagamento da taxa de inscrição do concurso PETROBRAS?,"De acordo com o item
5.2.4
do edital, o pagamento da taxa de inscrição poderia ser efetuado das seguintes formas:
Qualquer banco
Casas lotéricas
Correios
Todos obedecendo aos critérios estabelecidos por esses correspondentes bancários.
Vale lembrar que, conforme o item
5.2.2, o pagamento deveria ser feito exclusivamente por meio de
boleto bancário, que poderia ser impresso ou reimpresso pela página de acompanhamento do processo seletivo no site do Cebraspe."
5,Qual é o prazo-limite de pagamento da inscrição do concurso PETROBRAS?,"De acordo com o
Anexo IV (Cronograma)
do edital, a data limite para pagamento da taxa de inscrição foi:
28 de janeiro de 2022
Vale lembrar que, conforme o item
5.4.8.12, o candidato cuja solicitação de isenção fosse indeferida também deveria efetuar o pagamento da taxa até essa mesma data, sob pena de ser automaticamente excluído do processo seletivo público."
6,Quem pode pedir isenção da taxa de inscrição do concurso PETROBRAS?,"De acordo com o item
5.4.8.1
do edital, teriam direito à isenção total da taxa de inscrição somente os candidatos amparados por:
Decreto nº 6.593, de 2 de outubro de 2008
Decreto nº 6.135, de 26 de junho de 2007
Para solicitar a isenção, o candidato deveria, conforme o item
5.4.8.2:
Preencher o requerimento no aplicativo de inscrição com o
Número de Identificação Social (NIS), atribuído pelo
CadÚnico
Preencher a
declaração eletrônica
de que é membro de família de baixa renda (declaração de hipossuficiência)
Importante destacar que a isenção
não seria concedida
ao candidato que:
Omitir informações e/ou torná-las inverídicas
Fraudar e/ou falsificar documentação
Não observar a forma, o prazo e os horários estabelecidos
Além disso, não eram aceitas solicitações de isenção
via postal, requerimento administrativo, correio eletrônico ou fora do prazo."
7,Qual é o período para solicitar isenção da taxa de inscrição do concurso PETROBRAS?,"De acordo com o
Anexo IV (Cronograma)
do edital, o período para solicitação de isenção da taxa de inscrição foi o
mesmo período das inscrições:
17 de dezembro de 2021 a 5 de janeiro de 2022
Das
10h do primeiro dia
às
18h do último dia
(horário oficial de Brasília/DF).
Vale destacar alguns pontos importantes sobre o processo de isenção:
A consulta individual à
situação provisória
da solicitação de isenção foi disponibilizada em
14 de janeiro de 2022
O prazo para interposição de
recursos
contra o resultado da solicitação de isenção foi em
17 e 18 de janeiro de 2022
A consulta individual à
situação final
da solicitação de isenção foi disponibilizada em
26 de janeiro de 2022
Caso a isenção fosse
indeferida, o candidato deveria efetuar o pagamento da taxa até
28 de janeiro de 2022, sob pena de exclusão automática do processo seletivo"
8,A inscrição do concurso PETROBRAS é feita somente pela internet?,"Sim! De acordo com o item
5.2
do edital:
""Será admitida a inscrição somente via internet, no endereço eletrônico
http://www.cebraspe.org.br/concursos/petrobras_21_ns
""
Além disso, o item
5.4.2
reforça que é expressamente
vedada
a inscrição:
Condicional
Extemporânea
Via postal
Via requerimento administrativo
Via correio eletrônico
Portanto, a inscrição deveria ser feita
exclusivamente pela internet, no site do Cebraspe, dentro do período estabelecido no cronograma (
17 de dezembro de 2021 a 5 de janeiro de 2022
)."
9,O candidato pode fazer mais de uma inscrição no concurso PETROBRAS?,"De acordo com o item
5.4.1.2
do edital, sim! O candidato poderia se inscrever para
mais de uma ênfase, desde que observados o
dia e o turno
de realização das provas.
No entanto, há alguns pontos importantes a destacar:
Restrições:
Ao se inscrever para mais de uma ênfase, no dia de realização das provas o candidato deveria optar por
apenas uma ênfase
para realizar as provas,
não podendo em hipótese alguma
realizar provas para mais de uma ênfase
Sobre a taxa de inscrição:
Não haveria devolução
da taxa de inscrição, ainda que o candidato se inscrevesse para mais de uma ênfase em que houvesse
sobreposição de horário
de aplicação das provas
Sobre alterações:
Durante o período de inscrição, o candidato poderia realizar a alteração da opção de atendimento especial, do sistema de concorrência e da cidade de realização das provas
Encerrado o período de inscrição, as inscrições
não poderiam ser alteradas em hipótese alguma
Portanto, embora fosse permitido se inscrever em mais de uma ênfase, o candidato deveria estar ciente de que
pagaria uma taxa para cada inscrição
e que
só poderia realizar as provas de uma única ênfase."
10,O candidato precisa guardar o comprovante de inscrição ou pagamento do concurso PETROBRAS?,"Sim! De acordo com o edital, o candidato deveria guardar o comprovante de inscrição ou pagamento. Veja o que diz cada item:
Sobre guardar o comprovante (item 5.4.7):
O comprovante de inscrição ou de pagamento da taxa de inscrição deveria ser
mantido em poder do candidato
e
apresentado nos locais de realização das provas objetivas
Sobre a disponibilidade do comprovante (item 5.3):
O comprovante de inscrição ficaria disponível no site do Cebraspe somente até a
data de realização das provas objetivas
Seria de
responsabilidade exclusiva do candidato
a obtenção desse documento
No dia da prova (item 8.1):
O candidato deveria comparecer ao local de realização das provas munido de:
Comprovante de inscrição
ou comprovante de pagamento da taxa de inscrição
Documento de identidade original
Caneta esferográfica
de tinta preta fabricada em material transparente
Portanto, era
fundamental
que o candidato guardasse e levasse o comprovante no dia da prova, pois seria um documento exigido para a realização das provas."
