modelo,Taxa de foco,IC 95% Wilson,Tokens (media),Tokens (mediana),Tokens (p90),Palavras (media),n
chatgpt,1.0,"[0.98, 1.00]",74.7,65.5,138.2,38.5,150
gpt-5.4-mini,0.993,"[0.96, 1.00]",119.6,107.5,206.1,60.5,150
gpt-5.4,0.973,"[0.93, 0.99]",128.7,110.0,247.7,65.5,150
gpt-5.5,0.973,"[0.93, 0.99]",138.4,122.5,248.5,66.7,150
gpt-4o-mini,0.887,"[0.83, 0.93]",170.3,150.5,299.2,91.1,150
deepseek-v4-flash,0.56,"[0.48, 0.64]",305.1,274.5,539.2,144.2,150
claude-haiku-4-5,0.533,"[0.45, 0.61]",271.4,256.0,415.5,134.0,150
claude-opus-4-7,0.487,"[0.41, 0.57]",313.8,276.0,567.4,148.4,150
deepseek-v4-pro,0.473,"[0.40, 0.55]",344.2,300.0,584.2,168.1,150
claude-sonnet-4-6,0.36,"[0.29, 0.44]",371.4,334.0,655.2,179.0,150
claude_chat,0.087,"[0.05, 0.14]",681.4,564.5,1334.9,317.6,150
